match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3857293,2022-12-02,17:00:00.000,0,2,available,available,2023-03-11T18:29:41.874026,2023-06-19T17:29:16.171687,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,4885,Ghana,male,H,86,Ghana,783,Uruguay,male,H,242,Uruguay,10,Group Stage,117897,Al Janoub Stadium   ,185,Qatar,225.0,Daniel Siebert,85.0,Germany,Otto Addo,Diego Martín Alonso López,1001251,Otto Addo,,1975-06-09,86,Ghana,3633,Diego Martín Alonso López,Diego Alonso,1975-04-16,242,Uruguay,1.1.0,2,2
3857292,2022-12-01,21:00:00.000,2,4,available,available,2023-04-11T12:52:20.153725,2023-06-19T12:41:31.766700,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,795,Costa Rica,male,E,54,Costa Rica,770,Germany,male,E,85,Germany,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,128.0,Stéphanie Frappart,78.0,France,Luis Fernando Suárez Guzman,Hans-Dieter Flick,3094,Luis Fernando Suárez Guzman,Luis Fernando Suárez,1959-12-23,49,Colombia,3371,Hans-Dieter Flick,,1965-02-24,85,Germany,1.1.0,2,2
3857291,2022-11-23,18:00:00.000,7,0,available,available,2023-01-26T05:29:57.946676,2023-04-27T00:39:03.690954,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,772,Spain,male,E,214,Spain,795,Costa Rica,male,E,54,Costa Rica,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,,,,,Luis Enrique Martínez García,Luis Fernando Suárez Guzman,793,Luis Enrique Martínez García,Luis Enrique,1970-05-08,214,Spain,3094,Luis Fernando Suárez Guzman,Luis Fernando Suárez,1959-12-23,49,Colombia,1.1.0,2,2
3857290,2022-11-24,12:00:00.000,1,0,available,available,2023-02-28T18:50:54.855427,2023-04-27T00:35:35.819237,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,773,Switzerland,male,G,221,Switzerland,2722,Cameroon,male,G,39,Cameroon,10,Group Stage,117897,Al Janoub Stadium   ,185,Qatar,1094.0,Facundo Tello Figueroa,11.0,Argentina,Murat Yakin,Rigobert Song Bahanag,2832,Murat Yakin,,1974-09-15,221,Switzerland,1001250,Rigobert Song Bahanag,,1976-07-01,39,Cameroon,1.1.0,2,2
3857285,2022-11-21,18:00:00.000,0,2,available,available,2023-06-03T18:25:09.879323,2023-06-20T10:37:16.264240,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,787,Senegal,male,A,202,Senegal,941,Netherlands,male,A,160,Netherlands,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,986.0,Wilton Pereira Sampaio,31.0,Brazil,Aliou Cissé,Louis van Gaal,635,Aliou Cissé,,1976-03-24,202,Senegal,788,Louis van Gaal,,1951-08-08,160,Netherlands,1.1.0,2,2
3857281,2022-11-27,18:00:00.000,4,1,available,available,2023-02-20T14:54:24.414208,2023-04-27T00:08:24.530337,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,785,Croatia,male,F,56,Croatia,1833,Canada,male,F,40,Canada,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,1814.0,Andrés Matonte,242.0,Uruguay,Zlatko Dalić,John Herdman,307,Zlatko Dalić,,1966-10-26,56,Croatia,4435,John Herdman,,1975-07-19,68,England,1.1.0,2,2
3857280,2022-12-02,21:00:00.000,1,0,available,available,2023-02-19T06:21:58.854769,2023-04-26T23:48:44.801077,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,2722,Cameroon,male,G,39,Cameroon,781,Brazil,male,G,31,Brazil,10,Group Stage,1001114,Lusail Stadium,185,Qatar,438.0,Ismail Elfath,241.0,United States of America,Rigobert Song Bahanag,Adenor Leonardo Bacchi,1001250,Rigobert Song Bahanag,,1976-07-01,39,Cameroon,547,Adenor Leonardo Bacchi,Tite,1961-05-25,31,Brazil,1.1.0,2,2
3857279,2022-11-22,21:00:00.000,4,1,available,available,2023-03-06T16:39:23.739115,2023-04-27T00:50:47.673065,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,771,France,male,D,78,France,792,Australia,male,D,14,Australia,10,Group Stage,117897,Al Janoub Stadium   ,185,Qatar,2366.0,Victor Miguel de Freitas Gomes,211.0,South Africa,Didier Deschamps,Graham James Arnold,545,Didier Deschamps,,1968-10-15,78,France,5696,Graham James Arnold,,1963-08-03,14,Australia,1.1.0,2,2
3857278,2022-11-29,21:00:00.000,0,1,available,available,2023-03-18T21:59:05.797846,2023-06-20T12:32:23.990635,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,797,Iran,male,B,107,"Iran, Islamic Republic of",1839,United States,male,B,241,United States of America,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,180.0,Antonio Miguel Mateu Lahoz,214.0,Spain,Carlos Manuel Brito Leal Queiróz,Gregg Berhalter,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,93,Gregg Berhalter,,1973-08-01,241,United States of America,1.1.0,2,2
3857277,2022-11-23,12:00:00.000,0,0,available,available,2023-05-07T22:19:04.424829,2023-05-19T14:33:42.362037,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,788,Morocco,male,F,154,Morocco,785,Croatia,male,F,56,Croatia,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,1121.0,Fernando Andrés Rapallini,11.0,Argentina,Walid Regragui,Zlatko Dalić,1000518,Walid Regragui,,1975-09-23,154,Morocco,307,Zlatko Dalić,,1966-10-26,56,Croatia,1.1.0,2,2
